,s,Senario ID,Senario type,RT1,R,sex,age,theta,beta,alpha
1,1,10,GENDER,3.04,0,0,0,0,0,0
2,1,2,AGE+GENDER,1.864,1,0,0,0,0,0
3,1,1,GENDER,1.473,1,0,0,0,0,0
4,1,9,AGE+GENDER,1.765,1,0,0,0,0,0
5,1,7,AGE+GENDER,3.046,0,0,0,0,0,0
6,1,13,AGE+GENDER,1.024,0,0,0,0,0,0
7,1,15,GENDER,2.048,1,0,0,0,0,0
8,1,4,AGE+GENDER,1.151,0,0,0,0,0,0
9,1,1,GENDER,0.801,1,0,0,0,0,0
10,1,9,AGE+GENDER,0.164,1,0,0,0,0,0
11,2,12,AGE+GENDER,1.471,1,1,0,1,1,1
12,2,2,AGE+GENDER,3.565,1,1,0,1,1,1
13,2,1,GENDER,3.69,1,1,0,1,1,1
14,2,13,AGE+GENDER,3.408,0,1,0,1,1,1
15,2,15,GENDER,3.365,1,1,0,1,1,1
16,2,4,AGE+GENDER,3.007,1,1,0,1,1,1
17,2,10,GENDER,6.24,1,1,0,1,1,1
18,2,9,AGE+GENDER,2.146,0,1,0,1,1,1
19,2,14,AGE+GENDER,4.303,0,1,0,1,1,1
20,2,7,AGE+GENDER,0.645,0,1,0,1,1,1
21,2,9,AGE+GENDER,2.38,0,1,0,1,1,1
22,2,13,AGE+GENDER,1.14,0,1,0,1,1,1
23,2,7,AGE+GENDER,2.681,0,1,0,1,1,1
24,2,14,AGE+GENDER,3.569,0,1,0,1,1,1
25,2,10,GENDER,3.722,1,1,0,1,1,1
26,2,1,GENDER,2.756,1,1,0,1,1,1
27,2,2,AGE+GENDER,3.281,1,1,0,1,1,1
28,2,15,GENDER,3.482,1,1,0,1,1,1
29,2,12,AGE+GENDER,1.072,1,1,0,1,1,1
30,2,4,AGE+GENDER,1.953,1,1,0,1,1,1
31,3,9,AGE+GENDER,2.248,1,1,0,1,1,1
32,3,14,AGE+GENDER,4.154,0,1,0,1,1,1
33,3,12,AGE+GENDER,1.756,0,1,0,1,1,1
34,3,15,GENDER,3.264,1,1,0,1,1,1
35,3,10,GENDER,2.974,1,1,0,1,1,1
36,3,4,AGE+GENDER,1.788,0,1,0,1,1,1
37,3,13,AGE+GENDER,3.191,1,1,0,1,1,1
38,3,1,GENDER,1.84,1,1,0,1,1,1
39,3,7,AGE+GENDER,2.162,1,1,0,1,1,1
40,3,2,AGE+GENDER,2.715,0,1,0,1,1,1
41,3,4,AGE+GENDER,1.837,0,1,0,1,1,1
42,3,2,AGE+GENDER,0.695,0,1,0,1,1,1
43,3,15,GENDER,1.731,1,1,0,1,1,1
44,3,9,AGE+GENDER,0.682,1,1,0,1,1,1
45,3,10,GENDER,2.707,1,1,0,1,1,1
46,3,1,GENDER,1.935,1,1,0,1,1,1
47,3,13,AGE+GENDER,4.042,1,1,0,1,1,1
48,3,14,AGE+GENDER,3.237,0,1,0,1,1,1
49,3,7,AGE+GENDER,2.18,1,1,0,1,1,1
50,3,12,AGE+GENDER,1.323,0,1,0,1,1,1
51,4,1,GENDER,2.732,1,0,0,1,1,1
52,4,13,AGE+GENDER,6.458,0,0,0,1,1,1
53,4,15,GENDER,5.265,0,0,0,1,1,1
54,4,4,AGE+GENDER,3.373,0,0,0,1,1,1
55,4,2,AGE+GENDER,2.481,1,0,0,1,1,1
56,4,7,AGE+GENDER,0.031,0,0,0,1,1,1
57,4,10,GENDER,6.888,0,0,0,1,1,1
58,4,14,AGE+GENDER,4.969,0,0,0,1,1,1
59,4,14,AGE+GENDER,6.164,0,0,0,1,1,1
60,4,4,AGE+GENDER,3.554,1,0,0,1,1,1
61,4,2,AGE+GENDER,4.543,1,0,0,1,1,1
62,4,12,AGE+GENDER,3.206,1,0,0,1,1,1
63,4,15,GENDER,4.547,0,0,0,1,1,1
64,4,9,AGE+GENDER,3.698,0,0,0,1,1,1
65,4,10,GENDER,7.389,0,0,0,1,1,1
66,4,13,AGE+GENDER,4.842,0,0,0,1,1,1
