"s","RT","M","Scenario_Type","R"
1,10.381,"Text","GENDER",1
1,5.896,"Text","GENDER",0
1,4.548,"Text","GENDER",0
1,3.531,"Text","GENDER",0
1,4.014,"Text","GENDER",0
1,2.547,"Text","GENDER",1
2,2.699,"Text","GENDER",0
2,2.098,"Text","GENDER",0
2,4.364,"Text","GENDER",0
2,2.631,"Text","GENDER",0
2,2.098,"Text","GENDER",0
2,5.198,"Text","GENDER",0
3,9.73,"Text","GENDER",0
3,2.764,"Text","GENDER",0
3,4.28,"Text","GENDER",0
3,3.481,"Text","GENDER",0
3,3.214,"Text","GENDER",0
3,3.48,"Text","GENDER",0
4,3.931,"Text","GENDER",1
4,2.098,"Text","GENDER",1
4,2.281,"Text","GENDER",0
4,4.047,"Text","GENDER",1
4,5.031,"Text","GENDER",0
4,2.047,"Text","GENDER",0
5,11.281,"Text","GENDER",0
5,6.681,"Text","GENDER",1
6,7.148,"Text","GENDER",0
6,7.065,"Text","GENDER",0
6,4.597,"Text","GENDER",0
6,6.248,"Text","GENDER",0
6,2.88,"Text","GENDER",0
6,2.497,"Text","GENDER",0
7,1.714,"Text","GENDER",0
7,3.481,"Text","GENDER",0
7,5.681,"Text","GENDER",1
7,2.631,"Text","GENDER",0
7,4.031,"Text","GENDER",0
7,2.647,"Text","GENDER",0
8,6.216,"Text","GENDER",0
8,5.516,"Text","GENDER",1
8,3.599,"Text","GENDER",0
8,4.733,"Text","GENDER",1
8,3.882,"Text","GENDER",1
8,6.067,"Text","GENDER",0
9,5.065,"Text","GENDER",0
9,3.23,"Text","GENDER",0
9,3.08,"Text","GENDER",0
10,4.698,"Text","GENDER",0
10,3.847,"Text","GENDER",0
10,3.965,"Text","GENDER",0
10,4.131,"Text","GENDER",0
10,10.848,"Text","GENDER",1
10,3.68,"Text","GENDER",1
11,5.231,"Text","GENDER",0
11,7.932,"Text","GENDER",0
11,7.331,"Text","GENDER",0
11,3.781,"Text","GENDER",0
11,4.847,"Text","GENDER",0
11,3.763,"Text","GENDER",0
12,12.398,"Text","GENDER",0
12,2.648,"Text","GENDER",0
12,3.998,"Text","GENDER",0
12,3.247,"Text","GENDER",0
12,3.614,"Text","GENDER",0
12,1.413,"Text","GENDER",0
13,3.648,"Text","GENDER",0
13,5.098,"Text","GENDER",0
13,5.648,"Text","GENDER",0
