"s","RT","M","Scenario_Type","R"
1,3.04,"Video","GENDER",1
1,4.523,"Video","GENDER",0
1,4.073,"Video","GENDER",0
1,3.851,"Video","GENDER",0
2,6.74,"Video","GENDER",0
2,5.39,"Video","GENDER",0
2,6.24,"Video","GENDER",0
2,3.722,"Video","GENDER",0
2,5.806,"Video","GENDER",0
2,5.507,"Video","GENDER",0
3,5.289,"Video","GENDER",0
3,2.974,"Video","GENDER",0
3,4.89,"Video","GENDER",0
3,3.756,"Video","GENDER",0
3,2.707,"Video","GENDER",0
3,4.985,"Video","GENDER",0
4,5.782,"Video","GENDER",0
4,7.29,"Video","GENDER",1
4,6.888,"Video","GENDER",1
4,6.572,"Video","GENDER",1
4,7.389,"Video","GENDER",1
4,5.302,"Video","GENDER",0
5,6.023,"Video","GENDER",0
5,5.473,"Video","GENDER",1
5,7.119,"Video","GENDER",1
6,3.757,"Video","GENDER",0
6,4.406,"Video","GENDER",0
6,3.555,"Video","GENDER",0
6,4.888,"Video","GENDER",0
6,4.623,"Video","GENDER",0
7,5.39,"Video","GENDER",0
7,6.188,"Video","GENDER",0
7,6.924,"Video","GENDER",0
7,4.921,"Video","GENDER",0
7,5.583,"Video","GENDER",0
7,3.04,"Video","GENDER",0
8,7.073,"Video","GENDER",0
8,6.506,"Video","GENDER",0
8,6.039,"Video","GENDER",0
9,5.432,"Video","GENDER",0
9,3.573,"Video","GENDER",0
9,5.907,"Video","GENDER",0
9,6.554,"Video","GENDER",0
9,5.307,"Video","GENDER",0
9,5.257,"Video","GENDER",0
10,7.373,"Video","GENDER",0
10,5.057,"Video","GENDER",0
11,4.772,"Video","GENDER",0
11,3.173,"Video","GENDER",0
11,4.957,"Video","GENDER",0
11,2.823,"Video","GENDER",0
11,4.871,"Video","GENDER",0
11,5.435,"Video","GENDER",0
12,5.44,"Video","GENDER",0
12,5.373,"Video","GENDER",0
12,5.74,"Video","GENDER",0
12,5.023,"Video","GENDER",0
12,4.903,"Video","GENDER",0
12,5.14,"Video","GENDER",0
13,6.423,"Video","GENDER",1
13,7.239,"Video","GENDER",0
13,6.436,"Video","GENDER",1
14,4.775,"Video","GENDER",0
14,4.724,"Video","GENDER",0
14,5.207,"Video","GENDER",0
15,5.089,"Video","GENDER",0
15,7.155,"Video","GENDER",0
15,4.038,"Video","GENDER",0
15,5.656,"Video","GENDER",0
16,7.022,"Video","GENDER",0
16,7.122,"Video","GENDER",1
16,4.09,"Video","GENDER",0
16,7.456,"Video","GENDER",0
16,5.139,"Video","GENDER",0
16,3.838,"Video","GENDER",0
17,5.323,"Video","GENDER",0
17,4.94,"Video","GENDER",0
17,2.523,"Video","GENDER",0
17,4.174,"Video","GENDER",0
17,2.857,"Video","GENDER",0
18,7.773,"Video","GENDER",0
18,7.391,"Video","GENDER",0
18,7.407,"Video","GENDER",1
18,7.76,"Video","GENDER",0
18,7.539,"Video","GENDER",0
18,7.809,"Video","GENDER",0
19,4.624,"Video","GENDER",1
19,3.572,"Video","GENDER",1
19,3.507,"Video","GENDER",0
19,2.756,"Video","GENDER",1
19,3.756,"Video","GENDER",1
19,4.369,"Video","GENDER",1
20,7.255,"Video","GENDER",1
20,6.355,"Video","GENDER",1
20,7.408,"Video","GENDER",1
20,7.072,"Video","GENDER",1
20,6.838,"Video","GENDER",1
20,7.055,"Video","GENDER",1
21,6.07300000000396,"Video","GENDER",0
21,7.63999999999942,"Video","GENDER",0
21,7.09000000000378,"Video","GENDER",0
22,5.85699999999633,"Video","GENDER",0
22,6.50699999999779,"Video","GENDER",1
24,5.85800000000017,"Video","GENDER",0
24,4.97299999999814,"Video","GENDER",0
24,4.91900000000169,"Video","GENDER",0
25,6.60700000000361,"Video","GENDER",0
26,6.55500000000029,"Video","GENDER",1
26,4.95299999999406,"Video","GENDER",0
26,3.00499999999738,"Video","GENDER",0
27,5.3070000000007,"Video","GENDER",0
27,4.49099999999453,"Video","GENDER",0
27,4.60599999999977,"Video","GENDER",0
27,6.15200000000186,"Video","GENDER",0
27,3.87200000000303,"Video","GENDER",0
27,5.27400000000489,"Video","GENDER",0
28,6.45700000000215,"Video","GENDER",1
28,3.27300000000105,"Video","GENDER",1
29,3.59000000000378,"Video","GENDER",0
29,5.03899999999703,"Video","GENDER",0
29,4.52100000000064,"Video","GENDER",0
29,4.37200000000303,"Video","GENDER",0
30,6.40299999999843,"Video","GENDER",0
30,5.65699999999924,"Video","GENDER",0
30,5.10699999999633,"Video","GENDER",1
30,4.54099999999744,"Video","GENDER",1
30,4.87200000000303,"Video","GENDER",1
30,2.19000000000233,"Video","GENDER",1
31,6.98999999999796,"Video","GENDER",1
31,2.79000000000087,"Video","GENDER",0
31,6.02300000000105,"Video","GENDER",0
31,3.70700000000215,"Video","GENDER",0
31,7.43599999999424,"Video","GENDER",1
32,6.17399999999907,"Video","GENDER",0
