s,RT,M,Scenario_Type,R,sex,age,theta,beta,alpha,Q4,Q6,beta_s
1,10.381,Text,GENDER,1,0,0,0,0,0,2,2,3
1,5.896,Text,GENDER,0,0,0,0,0,0,2,2,3
1,4.548,Text,GENDER,0,0,0,0,0,0,2,2,3
1,3.531,Text,GENDER,0,0,0,0,0,0,2,2,3
1,4.014,Text,GENDER,0,0,0,0,0,0,2,2,3
1,2.547,Text,GENDER,1,0,0,0,0,0,2,2,3
2,2.699,Text,GENDER,0,1,0,1,1,1,3,1,1
2,2.098,Text,GENDER,0,1,0,1,1,1,3,1,1
2,4.364,Text,GENDER,0,1,0,1,1,1,3,1,1
2,2.631,Text,GENDER,0,1,0,1,1,1,3,1,1
2,2.098,Text,GENDER,0,1,0,1,1,1,3,1,1
2,5.198,Text,GENDER,0,1,0,1,1,1,3,1,1
3,9.73,Text,GENDER,0,1,0,1,1,1,2,1,3
3,2.764,Text,GENDER,0,1,0,1,1,1,2,1,3
3,4.28,Text,GENDER,0,1,0,1,1,1,2,1,3
3,3.481,Text,GENDER,0,1,0,1,1,1,2,1,3
3,3.214,Text,GENDER,0,1,0,1,1,1,2,1,3
3,3.48,Text,GENDER,0,1,0,1,1,1,2,1,3
4,3.931,Text,GENDER,1,0,0,1,1,1,2,3,3
4,2.098,Text,GENDER,1,0,0,1,1,1,2,3,3
4,2.281,Text,GENDER,0,0,0,1,1,1,2,3,3
4,4.047,Text,GENDER,1,0,0,1,1,1,2,3,3
4,5.031,Text,GENDER,0,0,0,1,1,1,2,3,3
4,2.047,Text,GENDER,0,0,0,1,1,1,2,3,3
5,11.281,Text,GENDER,0,0,0,0,0,0,1,3,0
5,6.681,Text,GENDER,1,0,0,0,0,0,1,3,0
6,7.148,Text,GENDER,0,0,1,0,0,1,1,3,2
6,7.065,Text,GENDER,0,0,1,0,0,1,1,3,2
6,4.597,Text,GENDER,0,0,1,0,0,1,1,3,2
6,6.248,Text,GENDER,0,0,1,0,0,1,1,3,2
6,2.88,Text,GENDER,0,0,1,0,0,1,1,3,2
6,2.497,Text,GENDER,0,0,1,0,0,1,1,3,2
7,1.714,Text,GENDER,0,1,0,1,1,0,3,1,2
7,3.481,Text,GENDER,0,1,0,1,1,0,3,1,2
7,5.681,Text,GENDER,1,1,0,1,1,0,3,1,2
7,2.631,Text,GENDER,0,1,0,1,1,0,3,1,2
7,4.031,Text,GENDER,0,1,0,1,1,0,3,1,2
7,2.647,Text,GENDER,0,1,0,1,1,0,3,1,2
8,6.216,Text,GENDER,0,0,1,1,1,1,1,1,0
8,5.516,Text,GENDER,1,0,1,1,1,1,1,1,0
8,3.599,Text,GENDER,0,0,1,1,1,1,1,1,0
8,4.733,Text,GENDER,1,0,1,1,1,1,1,1,0
8,3.882,Text,GENDER,1,0,1,1,1,1,1,1,0
8,6.067,Text,GENDER,0,0,1,1,1,1,1,1,0
9,5.065,Text,GENDER,0,1,0,0,0,0,3,2,2
9,3.23,Text,GENDER,0,1,0,0,0,0,3,2,2
9,3.08,Text,GENDER,0,1,0,0,0,0,3,2,2
10,4.698,Text,GENDER,0,0,1,1,1,1,1,2,2
10,3.847,Text,GENDER,0,0,1,1,1,1,1,2,2
10,3.965,Text,GENDER,0,0,1,1,1,1,1,2,2
10,4.131,Text,GENDER,0,0,1,1,1,1,1,2,2
10,10.848,Text,GENDER,1,0,1,1,1,1,1,2,2
10,3.68,Text,GENDER,1,0,1,1,1,1,1,2,2
11,5.231,Text,GENDER,0,1,0,1,1,1,2,2,0
11,7.932,Text,GENDER,0,1,0,1,1,1,2,2,0
11,7.331,Text,GENDER,0,1,0,1,1,1,2,2,0
11,3.781,Text,GENDER,0,1,0,1,1,1,2,2,0
11,4.847,Text,GENDER,0,1,0,1,1,1,2,2,0
11,3.763,Text,GENDER,0,1,0,1,1,1,2,2,0
12,12.398,Text,GENDER,0,1,0,1,1,0,2,1,1
12,2.648,Text,GENDER,0,1,0,1,1,0,2,1,1
12,3.998,Text,GENDER,0,1,0,1,1,0,2,1,1
12,3.247,Text,GENDER,0,1,0,1,1,0,2,1,1
12,3.614,Text,GENDER,0,1,0,1,1,0,2,1,1
12,1.413,Text,GENDER,0,1,0,1,1,0,2,1,1
13,3.648,Text,GENDER,0,1,1,0,0,1,2,2,2
13,5.098,Text,GENDER,0,1,1,0,0,1,2,2,2
13,5.648,Text,GENDER,0,1,1,0,0,1,2,2,2
13,5.248,Text,GENDER,1,1,1,0,0,1,2,2,2
13,3.031,Text,GENDER,1,1,1,0,0,1,2,2,2
13,1.565,Text,GENDER,1,1,1,0,0,1,2,2,2
14,8.165,Text,GENDER,0,1,0,0,0,0,3,1,0
14,2.532,Text,GENDER,0,1,0,0,0,0,3,1,0
14,4.032,Text,GENDER,0,1,0,0,0,0,3,1,0
14,5.432,Text,GENDER,0,1,0,0,0,0,3,1,0
14,2.515,Text,GENDER,0,1,0,0,0,0,3,1,0
14,3.149,Text,GENDER,0,1,0,0,0,0,3,1,0
15,5.064,Text,GENDER,0,1,0,1,1,0,2,2,3
15,9.881,Text,GENDER,0,1,0,1,1,0,2,2,3
15,3.148,Text,GENDER,0,1,0,1,1,0,2,2,3
15,3.064,Text,GENDER,1,1,0,1,1,0,2,2,3
15,5.131,Text,GENDER,0,1,0,1,1,0,2,2,3
15,3.814,Text,GENDER,0,1,0,1,1,0,2,2,3
16,2.897,Text,GENDER,0,1,0,0,0,1,2,1,1
16,3.363,Text,GENDER,0,1,0,0,0,1,2,1,1
16,4.464,Text,GENDER,0,1,0,0,0,1,2,1,1
16,3.364,Text,GENDER,0,1,0,0,0,1,2,1,1
16,3.914,Text,GENDER,0,1,0,0,0,1,2,1,1
16,3.214,Text,GENDER,0,1,0,0,0,1,2,1,1
17,3.131,Text,GENDER,0,0,1,1,1,0,3,1,3
17,2.164,Text,GENDER,0,0,1,1,1,0,3,1,3
17,4.83,Text,GENDER,0,0,1,1,1,0,3,1,3
17,2.58,Text,GENDER,0,0,1,1,1,0,3,1,3
17,1.547,Text,GENDER,0,0,1,1,1,0,3,1,3
17,2.448,Text,GENDER,0,0,1,1,1,0,3,1,3
18,5.981,Text,GENDER,0,0,0,1,1,1,1,1,1
18,12.648,Text,GENDER,1,0,0,1,1,1,1,1,1
18,7.582,Text,GENDER,0,0,0,1,1,1,1,1,1
18,12.33,Text,GENDER,0,0,0,1,1,1,1,1,1
18,6.446,Text,GENDER,1,0,0,1,1,1,1,1,1
19,2.615,Text,GENDER,0,0,1,1,1,0,1,1,2
19,2.532,Text,GENDER,0,0,1,1,1,0,1,1,2
19,2.899,Text,GENDER,1,0,1,1,1,0,1,1,2
19,2.182,Text,GENDER,0,0,1,1,1,0,1,1,2
19,2.015,Text,GENDER,1,0,1,1,1,0,1,1,2
20,8.015,Text,GENDER,1,0,1,1,1,0,1,1,2
20,5.131,Text,GENDER,0,0,1,1,1,0,1,1,2
20,4.347,Text,GENDER,1,0,1,1,1,0,1,1,2
20,1.597,Text,GENDER,1,0,1,1,1,0,1,1,2
20,3.498,Text,GENDER,1,0,1,1,1,0,1,1,2
20,2.997,Text,GENDER,1,0,1,1,1,0,1,1,2
21,7.514,Text,GENDER,0,0,0,0,0,0,2,2,0
21,4.765,Text,GENDER,0,0,0,0,0,0,2,2,0
21,2.331,Text,GENDER,0,0,0,0,0,0,2,2,0
21,3.265,Text,GENDER,0,0,0,0,0,0,2,2,0
21,3.947,Text,GENDER,0,0,0,0,0,0,2,2,0
21,3.597,Text,GENDER,0,0,0,0,0,0,2,2,0
22,7.014,Text,GENDER,1,0,1,1,1,1,1,1,1
22,9.865,Text,GENDER,0,0,1,1,1,1,1,1,1
22,7.346,Text,GENDER,0,0,1,1,1,1,1,1,1
22,8.797,Text,GENDER,1,0,1,1,1,1,1,1,1
22,5.947,Text,GENDER,1,0,1,1,1,1,1,1,1
22,3.348,Text,GENDER,1,0,1,1,1,1,1,1,1
23,7.931,Text,GENDER,0,0,1,0,0,0,1,2,1
23,2.564,Text,GENDER,1,0,1,0,0,0,1,2,1
23,2.964,Text,GENDER,0,0,1,0,0,0,1,2,1
23,4.115,Text,GENDER,1,0,1,0,0,0,1,2,1
23,3.58,Text,GENDER,1,0,1,0,0,0,1,2,1
24,5.698,Text,GENDER,0,0,1,0,0,0,3,2,1
24,2.164,Text,GENDER,0,0,1,0,0,0,3,2,1
24,2.897,Text,GENDER,0,0,1,0,0,0,3,2,1
24,3.765,Text,GENDER,0,0,1,0,0,0,3,2,1
24,1.648,Text,GENDER,0,0,1,0,0,0,3,2,1
24,2.13,Text,GENDER,0,0,1,0,0,0,3,2,1
25,11.931,Text,GENDER,0,0,1,0,0,0,2,1,1
25,4.08,Text,GENDER,0,0,1,0,0,0,2,1,1
25,5.514,Text,GENDER,0,0,1,0,0,0,2,1,1
25,2.598,Text,GENDER,1,0,1,0,0,0,2,1,1
25,2.548,Text,GENDER,1,0,1,0,0,0,2,1,1
25,2.98,Text,GENDER,1,0,1,0,0,0,2,1,1
26,7.498,Text,GENDER,0,0,1,1,1,1,1,1,2
26,4.831,Text,GENDER,0,0,1,1,1,1,1,1,2
26,3.565,Text,GENDER,0,0,1,1,1,1,1,1,2
26,3.581,Text,GENDER,0,0,1,1,1,1,1,1,2
26,4.514,Text,GENDER,0,0,1,1,1,1,1,1,2
26,3.798,Text,GENDER,0,0,1,1,1,1,1,1,2
27,1.915,Text,GENDER,0,0,1,0,0,0,2,3,0
27,2.981,Text,GENDER,0,0,1,0,0,0,2,3,0
27,4.581,Text,GENDER,0,0,1,0,0,0,2,3,0
27,2.365,Text,GENDER,0,0,1,0,0,0,2,3,0
27,2.814,Text,GENDER,0,0,1,0,0,0,2,3,0
27,1.931,Text,GENDER,0,0,1,0,0,0,2,3,0
28,3.947,Text,GENDER,0,0,1,1,1,1,2,3,3
28,3.745,Text,GENDER,0,0,1,1,1,1,2,3,3
29,6.349,Text,GENDER,0,0,1,0,0,0,2,1,0
29,7.564,Text,GENDER,0,0,1,0,0,0,2,1,0
29,7.215,Text,GENDER,0,0,1,0,0,0,2,1,0
29,2.248,Text,GENDER,0,0,1,0,0,0,2,1,0
29,4.281,Text,GENDER,0,0,1,0,0,0,2,1,0
29,3.531,Text,GENDER,0,0,1,0,0,0,2,1,0
30,5.431,Text,GENDER,0,0,0,0,0,0,1,1,1
30,5.664,Text,GENDER,0,0,0,0,0,0,1,1,1
30,6.364,Text,GENDER,1,0,0,0,0,0,1,1,1
30,2.664,Text,GENDER,1,0,0,0,0,0,1,1,1
30,2.647,Text,GENDER,1,0,0,0,0,0,1,1,1
31,10.265,Text,GENDER,0,1,0,1,1,1,1,1,3
31,5.699,Text,GENDER,0,1,0,1,1,1,1,1,3
31,8.797,Text,GENDER,0,1,0,1,1,1,1,1,3
31,6.831,Text,GENDER,0,1,0,1,1,1,1,1,3
31,2.848,Text,GENDER,0,1,0,1,1,1,1,1,3
31,6.082,Text,GENDER,0,1,0,1,1,1,1,1,3
32,3.231,Text,GENDER,1,1,1,1,1,0,3,1,0
32,3.215,Text,GENDER,0,1,1,1,1,0,3,1,0
32,5.148,Text,GENDER,0,1,1,1,1,0,3,1,0
32,4.798,Text,GENDER,0,1,1,1,1,0,3,1,0
32,4.614,Text,GENDER,0,1,1,1,1,0,3,1,0
32,5.147,Text,GENDER,0,1,1,1,1,0,3,1,0
33,2.831,Text,GENDER,0,1,0,1,1,1,1,1,0
33,3.915,Text,GENDER,0,1,0,1,1,1,1,1,0
33,5.515,Text,GENDER,0,1,0,1,1,1,1,1,0
33,4.097,Text,GENDER,1,1,0,1,1,1,1,1,0
33,5.631,Text,GENDER,1,1,0,1,1,1,1,1,0
33,3.548,Text,GENDER,1,1,0,1,1,1,1,1,0
34,9.648,Text,GENDER,0,1,1,1,1,0,1,3,3
34,9.881,Text,GENDER,0,1,1,1,1,0,1,3,3
34,4.047,Text,GENDER,0,1,1,1,1,0,1,3,3
34,3.464,Text,GENDER,0,1,1,1,1,0,1,3,3
34,9.531,Text,GENDER,0,1,1,1,1,0,1,3,3
34,9.397,Text,GENDER,0,1,1,1,1,0,1,3,3
35,2.947,Text,GENDER,0,1,1,1,1,1,1,2,3
35,8.115,Text,GENDER,1,1,1,1,1,1,1,2,3
35,7.198,Text,GENDER,0,1,1,1,1,1,1,2,3
35,4.564,Text,GENDER,0,1,1,1,1,1,1,2,3
35,11.914,Text,GENDER,1,1,1,1,1,1,1,2,3
35,4.346,Text,GENDER,0,1,1,1,1,1,1,2,3
36,9.815,Text,GENDER,1,1,0,1,1,1,2,1,2
36,3.665,Text,GENDER,0,1,0,1,1,1,2,1,2
36,3.565,Text,GENDER,0,1,0,1,1,1,2,1,2
36,5.831,Text,GENDER,0,1,0,1,1,1,2,1,2
36,2.615,Text,GENDER,0,1,0,1,1,1,2,1,2
36,10.163,Text,GENDER,1,1,0,1,1,1,2,1,2
37,4.881,Text,GENDER,0,1,0,1,1,1,2,1,1
37,3.032,Text,GENDER,0,1,0,1,1,1,2,1,1
37,2.348,Text,GENDER,0,1,0,1,1,1,2,1,1
37,6.732,Text,GENDER,0,1,0,1,1,1,2,1,1
37,2.329,Text,GENDER,0,1,0,1,1,1,2,1,1
37,4.146,Text,GENDER,0,1,0,1,1,1,2,1,1
38,8.198,Text,GENDER,1,1,0,1,1,1,3,1,2
38,4.081,Text,GENDER,0,1,0,1,1,1,3,1,2
38,2.213,Text,GENDER,1,1,0,1,1,1,3,1,2
38,2.931,Text,GENDER,1,1,0,1,1,1,3,1,2
38,2.731,Text,GENDER,1,1,0,1,1,1,3,1,2
39,5.481,Text,GENDER,0,1,1,1,1,1,1,1,3
39,3.897,Text,GENDER,0,1,1,1,1,1,1,1,3
39,5.414,Text,GENDER,0,1,1,1,1,1,1,1,3
39,6.014,Text,GENDER,1,1,1,1,1,1,1,1,3
39,3.131,Text,GENDER,1,1,1,1,1,1,1,1,3
39,3.679,Text,GENDER,1,1,1,1,1,1,1,1,3
40,4.081,Text,GENDER,0,1,1,1,1,0,1,1,0
40,2.496,Text,GENDER,0,1,1,1,1,0,1,1,0
40,9.747,Text,GENDER,0,1,1,1,1,0,1,1,0
40,4.797,Text,GENDER,0,1,1,1,1,0,1,1,0
40,5.38,Text,GENDER,0,1,1,1,1,0,1,1,0
40,1.78,Text,GENDER,0,1,1,1,1,0,1,1,0
